name|position|plus.minus|Salary.0203|Salary.0304|Salary.0506|Salary.0607|Salary.0708|Salary.0809|Salary.0910|Salary.1011|Salary.1112|Salary.1213|Salary.1314|Total
RICHARD_BACHMAN|G|-1|0|0|0|0|0|0|0|0|0|0.625|0|0.625
RICHARD_BRENNAN|D|5|0|0.45|0|0|0|0|0|0|0|0|0|0.45
RICHARD_LINTNER|D|-10|0.345|0|0|0|0|0|0|0|0|0|0|0.345
RICHARD_MATVICHUK|D|-57|2.2|2.2|1.368|1.368|0|0|0|0|0|0|0|7.136
RICHARD_PANIK|R|0|0|0|0|0|0|0|0|0|0|0.74|0.79|1.53
RICHARD_PARK|R|-168|0.5|0.8|0.75|0.45|0.475|0.7|0.8|0|0|0|0|4.475
RICHARD_PETIOT|D|4|0|0|0.55|0.57|0|0|0.5|0|0|0|0|1.62
RICHARD_SMEHLIK|D|-11|2.75|0|0|0|0|0|0|0|0|0|0|2.75
RICHARD_ZEDNIK|R|111|1.7|1.85|1.824|1.976|1.5|1.75|0|0|0|0|0|10.6
RICHIE_REGEHR|D|2|0|0|0|0.45|0|0|0|0|0|0|0|0.45
RICK_BERRY|D|-12|0.4125|0.45375|0|0|0|0|0|0|0|0|0|0.86625
RICK_DIPIETRO|G|-59|1.075|0|2.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|39.575
RICK_NASH|L|121|1.185|1.185|3.5|4.5|5.5|6.5|7|7.5|7.5|7.6|7.8|59.77
RICK_RYPIEN|C|-26|0|0|0|0.46|0.475|0.5225|0.525|0.55|0|0|0|2.5325
RICKARD_RAKELL|R|-2|0|0|0|0|0|0|0|0|0|0.925|0.925|1.85
RICO_FATA|R|-64|0.65|0.715|0.551|0|0|0|0|0|0|0|0|1.916
RILEY_COTE|L|-3|0|0|0|0.45|0.5|0.525|0.525|0.6|0|0|0|2.6
RILEY_NASH|C|-3|0|0|0|0|0|0|0|0.55|0.6|0.787|0.55|2.487
ROB_DAVISON|D|-24|0|0|0.45|0.495|0.525|0.56|0|0.5|0|0|0.55|3.08
ROB_KLINKHAMMER|C|7|0|0|0|0|0|0|0|0|0.525|0.65|0.6|1.775
ROB_NIEDERMAYER|C|-138|2.1|2.1|2|2|2|2|1|1.15|0|0|0|14.35
ROB_SCHREMP|C|-1|0|0|0|0|0|0.65|0.715|0|0|0|0|1.365
ROBERT_BORTUZZO|D|2|0|0|0|0|0|0|0.53|0.525|0.55|0.525|0.55|2.68
ROBERT_EARL|L|-4|0|0|0|0|0|0|0.55|0.55|0|0|0|1.1
ROBERT_ESCHE|G|26|0.5|0.56|1|1|0|0|0|0|0|0|0|3.06
ROBERT_LANG|C|269|5|5|3.8|3.8|4|4|1|0|0|0|0|26.6
ROBERT_NILSSON|C|31|0|0|0.9424|0|0.9424|1.5|2|2.5|0|0|0|7.8848
ROBERT_REICHEL|C|13|2.75|3.25|0|0|0|0|0|0|0|0|0|6
ROBERT_SVEHLA|D|5|3.25|4|0|0|0|0|0|0|0|0|0|7.25
ROBERTO_LUONGO|G|121|1.6|1.9|3.2|6|6.5|7|7.5|10|6.716|6.714|6.714|63.844
ROBIN_LEHNER|G|3|0|0|0|0|0|0|0|0|0|0.9|0.81|1.71
ROBYN_REGEHR|D|-178|1.0725|1.25|1.672|1.9|2.28|4.6|3.5|4|4|4|3|31.2745
ROD_BRIND'AMOUR|C|-10|4.75|5|3.8|4|4|4|3|0|0|0|0|28.55
ROD_PELLEY|C|-40|0|0|0|0|0.5225|0|0.575|0.525|0.575|0|0.55|2.7475
ROMAN_CECHMANEK|G|24|3.5|3|0|0|0|0|0|0|0|0|0|6.5
ROMAN_CERVENKA|C|-5|0|0|0|0|0|0|0|0|0|0.925|0|0.925
ROMAN_HAMRLIK|D|52|3.5|3.6|3.5|3.5|5.5|5.5|5.5|5.5|3.5|3.5|0|43.1
ROMAN_HORAK|L|1|0|0|0|0|0|0|0|0|0|0.605|0.62|1.225
ROMAN_JOSI|D|-1|0|0|0|0|0|0|0|0|0|0.875|0|0.875
ROMAN_POLAK|D|-89|0|0|0|0.6|0|0.475|1|1.2|2|2.45|3.1|10.825
ROMAN_TUREK|G|-4|4|4.25|0|0|0|0|0|0|0|0|0|8.25
RON_HAINSEY|D|-67|1.075|0|0|0.575|0.9|4.5|5|5|5|3|2|27.05
RON_TUGNUTT|G|6|2.6|2.8|0|0|0|0|0|0|0|0|0|5.4
RONALD_PETROVICKY|R|-6|0.425|0.4675|0.589|0.45|0|0|0|0|0|0|0|1.9315
RORY_FITZPATRICK|D|-47|0|0.375|0.532|0.525|0.55|0|0|0|0|0|0|1.982
ROSTISLAV_KLESLA|D|-127|0.5375|1.075|0.943635|1.05|1.45|1.65|2.25|2.975|2.975|2.975|2.975|20.856135
ROSTISLAV_OLESZ|C|-14|0|0|0.9842|0.9842|0.9842|1.7|2.3|3.1|3.4|4|4.25|21.7026
RUSLAN_FEDOTENKO|L|46|0.715|0|1.3|1.65|2.9|2.25|1.8|0|1.4|1.75|0|13.765
RUSLAN_SALEI|D|-32|1.6|1.75|1.824|2.775|3.025|3.025|3.275|0.75|0|0|0|18.024
RYAN_BAYDA|L|-23|0|0.6|0|0|0|0.475|0|0|0|0|0|1.075
RYAN_CALLAHAN|R|31|0|0|0|0.55|0.575|0.6|2.2|2.4|4|4|4.875|19.2
RYAN_CARTER|C|-36|0|0|0|0|0.56|0.525|0.625|0.725|0.75|0.75|0.8|4.735
RYAN_CRAIG|C|-28|0|0|0|0.495|0.85|0.775|0.8|0|0|0|0.6|3.52
RYAN_ELLIS|D|13|0|0|0|0|0|0|0|0|0|0.81|0.81|1.62
RYAN_GARBUTT|C|-4|0|0|0|0|0|0|0|0|0|0.55|0.6|1.15
RYAN_GETZLAF|C|363|0|0|0.881|0.7144|0.6232|4.5|5.125|5.125|5.75|6.125|6.5|35.3436
RYAN_HAMILTON|L|0|0|0|0|0|0|0|0|0|0|0.6|0.6|1.2
RYAN_HOLLWEG|C|-36|0|0|0|0.456|0.5|0.525|0|0|0|0|0|1.481
RYAN_JOHANSEN|C|2|0|0|0|0|0|0|0|0|0|0.9|0.81|1.71
RYAN_JOHNSON|C|-222|0.75|0.6|0.5852|0.8|0.8|1.1|1.1|0|0|0|0|5.7352
RYAN_JONES|L|-23|0|0|0|0|0|0|0|0.975|1.5|1.5|0|3.975
RYAN_KESLER|C|67|0|0|0.722|1.9|1.75|1.75|1.75|5|5|5|5|27.872
RYAN_MALONE|L|59|0|0|0.75|1.3|1.45|6|6|6|5.5|3|2.5|32.5
RYAN_MCDONAGH|D|13|0|0|0|0|0|0|0|0|0.875|0.875|0|1.75
RYAN_MILLER|G|154|0|0|0.5016|2|2.5|3.5|6.25|6.25|6.25|6.25|6.25|39.7516
RYAN_MURPHY|D|-3|0|0|0|0|0|0|0|0|0|0.925|0.925|1.85
RYAN_NUGENT-HOPKINS|C|48|0|0|0|0|0|0|0|0|0|0.925|0.925|1.85
RYAN_O'BYRNE|D|-90|0|0|0|0|0.59|0.7|0.725|1.4|1.6|2|0|7.015
RYAN_O'MARRA|C|-4|0|0|0|0|0|0|0.765|0|0|0|0|0.765
RYAN_O'REILLY|C|-51|0|0|0|0|0|0|0.84|0.9|0.9|0|0|2.64
RYAN_PARENT|D|-46|0|0|0|0|0|0.85|0.765|0|0|0|0|1.615
RYAN_POTULNY|C|-17|0|0|0|0.835|0.6435|0|0.765|0.5|0|0.525|0|3.2685
RYAN_READY|L|-1|0|0|0.45|0|0|0|0|0|0|0|0|0.45
RYAN_REAVES|R|1|0|0|0|0|0|0|0|0|0.525|0.6|0.6|1.725
RYAN_RUSSELL|L|-16|0|0|0|0|0|0|0|0|0|0.7|0|0.7
RYAN_SHANNON|R|-2|0|0|0|0.4775|0|0.605|0.6|0.625|0.625|0|0|2.9325
RYAN_SMYTH|L|212|3.025|3.45|3.5|3.5|7.5|7.25|6.5|5.5|4.5|2.25|2.25|49.225
RYAN_STANTON|D|1|0|0|0|0|0|0|0|0|0.595|0.595|0.55|1.74
RYAN_STOA|C|-1|0|0|0|0|0|0|0|0.85|0|0.7|0|1.55
RYAN_STONE|C|-1|0|0|0|0|0.675|0.55|0.6|0.5|0|0|0|2.325
RYAN_SUTER|D|127|0|0|0.9424|0.4712|0.9424|3.5|3.5|3.5|3.5|12|12|40.356
RYAN_VANDENBUSSCHE|R|-5|0.55|0.55|0.45|0|0|0|0|0|0|0|0|1.55
RYAN_WHITE|C|-19|0|0|0|0|0|0|0.61|0|0.625|0.688|0.7|2.623
RYAN_WHITNEY|D|98|0|0|0.9006|0.9006|2.5|3|3.5|4.5|5|5.5|0.9|26.7012
RYAN_WILSON|D|-14|0|0|0|0|0|0|0.53|0.53|1.275|2|2.375|6.71
RYANE_CLOWE|L|137|0|0|0|0.525|0.6|1.6|3.5|3.5|3.5|4|4.85|22.075
SAKU_KOIVU|C|180|3.3|4.25|3.42|4.75|4.75|4.75|3.25|2.5|2.5|3|2.5|38.97
