Name|Salary.0203|Salary.0304|Salary.0506|Salary.0607|Salary.0708|Salary.0809|Salary.0910|Salary.1011|Salary.1112|Salary.1213|Salary.1314|Total
KEITH_JONES|1.7|0|0|0|0|0|0|0|0|0|0|1.7
KEITH_KINKAID|0|0|0|0|0|0|0|0|0|0.665|0.55|1.215
KEITH_PRIMEAU|5|5|3.42|3.04|3.04|0|0|0|0|0|0|19.5
KEITH_TKACHUK|11|10|7.6|3.8|3.5|4.5|2.15|0|0|0|0|42.55
KEITH_YANDLE|0|0|0|0|0.61|0.635|1.1|1.3|4.75|5|5.25|18.645
KELLAN_TOCHKIN|0|0|0|0|0|0|0|0|0|0.525|0.525|1.05
KELLY_BUCHBERGER|0.6|0.55|0|0|0|0|0|0|0|0|0|1.15
KEN_BELANGER|0.6|0|0.45|0|0|0|0|0|0|0|0|1.05
KEN_KLEE|1.55|1.5|1.9|0.7|1.25|1.25|0|0|0|0|0|8.15
KENNDAL_MCARDLE|0|0|0|0|0|0|0.85|0|0|0|0|0.85
KENNETH_DANEYKO|2|0|0|0|0|0|0|0|0|0|0|2
KENNY_JONSSON|2.5|3|0|0|0|0|0|0|0|0|0|5.5
KENNY_RYAN|0|0|0|0|0|0|0|0|0|0.69|0.74|1.43
KENT_HUSKINS|0|0|0|0.45|0.6|0.65|0|1.9|1|0|0|4.6
KENT_MANDERVILLE|0.6|0|0|0|0|0|0|0|0|0|0|0.6
KENT_PATTERSON|0|0|0|0|0|0|0|0|0|0.59|0.665|1.255
KENT_SIMPSON|0|0|0|0|0|0|0|0|0|0.615|0.615|1.23
KEVAN_MILLER|0|0|0|0|0|0|0|0|0|0.605|0.55|1.155
KEVEN_VEILLEUX|0|0|0|0|0|0|0|0|0|0.525|0|0.525
KEVIN_BIEKSA|0|0|0|0.5|0.55|4.25|3.5|3.5|7|4.5|5|28.8
KEVIN_CONNAUTON|0|0|0|0|0|0|0|0|0|0.715|0.6|1.315
KEVIN_DAHL|0.4|0|0|0|0|0|0|0|0|0|0|0.4
KEVIN_DALLMAN|0|0|0|0.465|0.49|0|0|0|0|0|0|0.955
KEVIN_DINEEN|0.5|0|0|0|0|0|0|0|0|0|0|0.5
KEVIN_DOELL|0|0|0|0|0.475|0|0|0|0|0|0|0.475
KEVIN_HALLER|1.7|0|0|0|0|0|0|0|0|0|0|1.7
KEVIN_HATCHER|1.5|0|0|0|0|0|0|0|0|0|0|1.5
KEVIN_HENDERSON|0|0|0|0|0|0|0|0|0|0.55|0.55|1.1
KEVIN_KLEIN|0|0|0|0|0.5|0.5|0.8|1.35|1.35|1.35|3|8.85
KEVIN_MARSHALL|0|0|0|0|0|0|0|0.6875|0.65|0.525|0|1.8625
KEVIN_MONTGOMERY|0|0|0|0|0|0|0|0.55|0|0|0|0.55
KEVIN_PORTER|0|0|0|0|0|0.895|0|0.66|0.85|0.525|0.55|3.48
KEVIN_POULIN|0|0|0|0|0|0|0|0|0.6125|0.613|0.578|1.8035
KEVIN_SAWYER|0.475|0|0|0|0|0|0|0|0|0|0|0.475
KEVIN_SHATTENKIRK|0|0|0|0|0|0|0|0|0.875|0.875|3.3|5.05
KEVIN_STEVENS|0.6|0|0|0|0|0|0|0|0|0|0|0.6
KEVIN_SUNDHER|0|0|0|0|0|0|0|0|0|0.615|0.615|1.23
KEVIN_WEEKES|1.5075|2.35|1.9|2|0.675|0.7|0|0|0|0|0|9.1325
KEVIN_WESTGARTH|0|0|0|0|0|0|0|0|0.525|0.7|0.75|1.975
KEVYN_ADAMS|0.7|0.7|0.725|0.725|0.65|0|0|0|0|0|0|3.5
