who,last_active,mean_effect
DAVID_VAN DER GULIK,20122013,0.0941569798123158
FREDERIK_ANDERSEN,20132014,0.0936195486646748
ALEX_KOVALEV,20122013,0.0932289241369672
OWEN_NOLAN,20092010,0.0931738797284049
R.J._UMBERGER,20132014,0.0928214430712037
NIKOLAI_ZHERDEV,20102011,0.0920757504809601
NICK_JOHNSON,20122013,0.0916430690931488
MATHIEU_SCHNEIDER,20092010,0.0916011365800973
MAREK_SVATOS,20102011,0.0911882693500645
CHRISTIAN_EHRHOFF,20132014,0.0909495054449771
KRIS_VERSTEEG,20132014,0.0908829350869906
MICHAEL_GRABNER,20132014,0.0908250656190653
SERGEI_ZUBOV,20082009,0.0906789113329765
BRANDON_PIRRI,20132014,0.0906661550218882
VACLAV_PROSPAL,20122013,0.089990395478211
PATRICK_WIERCIOCH,20132014,0.0899358708575827
RYAN_WILSON,20132014,0.0899077131863419
BRIAN_ROLSTON,20112012,0.0898657427708571
MIKE_JOHNSON,20072008,0.0896997844661868
TRAVIS_ZAJAC,20132014,0.0892687630550488
VIKTOR_FASTH,20132014,0.0891108436007228
MICHAEL_SAUER,20112012,0.0890886871369102
BRIAN_GIBBONS,20132014,0.0889207653616496
CRAIG_ANDERSON,20132014,0.0882127324627095
BENN_FERRIERO,20122013,0.0877018541958133
KARI_LEHTONEN,20132014,0.0869837106878271
MARC-EDOUARD_VLASIC,20132014,0.0867748566447446
MICHAEL_NYLANDER,20082009,0.0866627401526677
MIKE_MOTTAU,20132014,0.0864076882363394
PHILIPPE_BOUCHER,20082009,0.0863494244788145
PATRIK_BERGLUND,20132014,0.0861483283496392
JARRET_STOLL,20132014,0.0860248466896222
RYAN_ELLIS,20132014,0.0859064775063677
VYACHESLAV_KOZLOV,20092010,0.0857751490242156
RAY_WHITNEY,20132014,0.0857744828849192
JAROSLAV_SPACEK,20112012,0.085432700818972
TYLER_ENNIS,20132014,0.085138023953285
SERGEI_SAMSONOV,20102011,0.0848555633939705
THOMAS_HICKEY,20132014,0.0847873615055213
IAN_WHITE,20122013,0.0846966612245064
MARC-ANDRE_GRAGNANI,20112012,0.0836718937610405
ANDREW_BRUNETTE,20112012,0.0833412943351985
MIKE_DUNHAM,20062007,0.0832624619444919
JONATHAN_CHEECHOO,20092010,0.0832370765315507
ROBERTO_LUONGO,20132014,0.0830250585214452
ROMAN_HAMRLIK,20122013,0.08199664293716
NICK_FOLIGNO,20132014,0.0817514441635565
ANDY_HILBERT,20092010,0.0814792008173413
TONY_AMONTE,20062007,0.0814276764913099
JASON_HOLLAND,20032004,0.08133731510359
MIROSLAV_SATAN,20092010,0.0810742556020322
DAVID_AEBISCHER,20072008,0.0808313235433721
SPENCER_MACHACEK,20112012,0.0804425399764608
STEVE_OLEKSY,20132014,0.0804406031842426
PAUL_BYRON,20132014,0.0801786645613919
DAVID_SCHLEMKO,20132014,0.0800210425561703
