who,last_active,TPq10,TPmed,TPq90
SLAVA_VOYNOV,20132014,101,507,1426.1
BLAKE_WHEELER,20132014,152,509,1261.1
MARTIN_ERAT,20132014,192,511,1145
MATT_DUCHENE,20132014,142.9,515,1285.1
JASON_POMINVILLE,20132014,196,520,1168
DRAKE_BEREHOWSKY,20032004,49,520,1609
CHRISTOPHER_TANEV,20132014,78,522,1505.1
JEFFREY_HAMILTON,20082009,73,524.5,1536.1
ALEX_KOVALEV,20122013,201,528,1184
R.J._UMBERGER,20132014,198,530,1183
DAVID_VYBORNY,20072008,142,530,1332
JARED_SPURGEON,20132014,108,534,1410
CHRISTIAN_EHRHOFF,20132014,212,536.5,1177.1
EVANDER_KANE,20132014,151,537,1368.1
ERIC_DAZE,20052006,72,540,1617
MATHIEU_SCHNEIDER,20092010,190,542,1241
VACLAV_PROSPAL,20122013,203,543,1217
SERGEI_ZUBOV,20082009,173.9,547,1319
ANDREW_SHAW,20132014,108,547,1531
OWEN_NOLAN,20092010,162,548,1332.1
KRIS_VERSTEEG,20132014,180,548.5,1300.1
CRAIG_ANDERSON,20132014,230,549,1153
NIKOLAI_ZHERDEV,20102011,167,551,1323
JYRKI_LUMME,20022003,55,551,1622
KARI_LEHTONEN,20132014,226.9,552,1189
BRIAN_ROLSTON,20112012,194,552,1238.1
ERIC_WELLWOOD,20112012,39,555,1740
RAY_WHITNEY,20132014,241,563,1158
JAROSLAV_SPACEK,20112012,232.9,563,1208
ALEXANDER_PEREZHOGIN,20062007,65,563,1632.2
MARC-EDOUARD_VLASIC,20132014,209,564,1248.1
TRAVIS_ZAJAC,20132014,175,567,1330
SAMI_VATANEN,20132014,49,570,1698
MAREK_SVATOS,20102011,148,571,1427
JARRET_STOLL,20132014,214.9,575,1234
PHILIPPE_BOUCHER,20082009,188,575,1344.1
IAN_WHITE,20122013,219,576,1253.1
MICHAEL_GRABNER,20132014,135,577,1466
ROBERTO_LUONGO,20132014,253,579,1158
RYAN_WILSON,20132014,144,580,1434.2
EMERSON_ETEM,20132014,45,581,1705.2
VYACHESLAV_KOZLOV,20092010,195,581.5,1318
ANDREW_BRUNETTE,20112012,229,582,1241.1
SERGEI_SAMSONOV,20102011,199,582,1327
ROMAN_HAMRLIK,20122013,249,583,1196
PATRIK_BERGLUND,20132014,170.9,585.5,1393
MICHAEL_NYLANDER,20082009,172,587.5,1385.1
EVGENY_ARTYUKHIN,20092010,87,590.5,1610
MARTIN_JONES,20132014,50,596,1700
STEPHANE_ROBIDAS,20132014,246,597,1249
MIKE_JOHNSON,20072008,131.9,600,1477
MIKE_MOTTAU,20132014,151,601,1449
BRENDEN_MORROW,20132014,232,605,1322
TYLER_ENNIS,20132014,148,605,1480
MILAN_MICHALEK,20132014,216.9,609,1329.1
TIM_THOMAS,20132014,246,610,1258.1
MIROSLAV_SATAN,20092010,214,611,1318
JONATHAN_CHEECHOO,20092010,167,611,1450.1
JOFFREY_LUPUL,20132014,233.9,614,1289.1
DAVID_LEGWAND,20132014,252,615,1253.1
RYAN_SUTER,20132014,240,615,1284
MIKE_DUNHAM,20062007,163,615,1462
DAVID_AEBISCHER,20072008,191,616,1397
PETER_BUDAJ,20132014,246,616.5,1300
NICK_FOLIGNO,20132014,186,618,1417
TONY_AMONTE,20062007,163,621,1512.1
PETR_SYKORA,20112012,228,622,1342
JOE_CORVO,20132014,266,623,1279
RYAN_KESLER,20132014,233,623,1304.1
VIKTOR_FASTH,20132014,100,626,1657
SERGEI_FEDOROV,20082009,207,629,1379
NICK_JOHNSON,20122013,81,629,1701
KRISTIAN_HUSELIUS,20112012,224.9,630,1348
MIKE_GREEN,20132014,244,631,1350
MARTY_HAVLAT,20132014,44,631,1812.1
JERE_LEHTINEN,20092010,195,631.5,1438
MICHAEL_SAUER,20112012,94,632.5,1672
ANDY_HILBERT,20092010,151,633,1526
FREDERIK_ANDERSEN,20132014,72,635,1741.1
CAM_WARD,20132014,275,637,1270
ALES_PISA,20022003,55,637,1740
P.A._PARENTEAU,20132014,177.9,645,1490.2
PATRICK_WIERCIOCH,20132014,84,647,1693
RYAN_ELLIS,20132014,102,648.5,1670.1
THOMAS_HICKEY,20132014,104,651,1697
DAVID_VAN DER GULIK,20122013,65.9000000000001,651.5,1789
DAVID_SCHLEMKO,20132014,146,653,1570
COREY_CRAWFORD,20132014,215,657,1439
ANDREW_COGLIANO,20132014,227,659,1416
JOHN_GRAHAME,20072008,187,659,1491
AL_MONTOYA,20132014,160,663,1529
