who|last_active|career_effect|current_effect
MATT_MOULSON|20132014|0.256650704014723|0.256650704014723
PATRIK_ELIAS|20132014|0.252706981954792|0.252706981954792
DANIEL_SEDIN|20132014|0.252025861063925|0.252025861063925
JOHAN_FRANZEN|20132014|0.250911566382033|0.250911566382033
VINCENT_LECAVALIER|20132014|0.250866589040571|0.250866589040571
JUSTIN_WILLIAMS|20132014|0.249598504568203|0.249598504568203
P.K._SUBBAN|20132014|0.249412615447637|0.249412615447637
JASON_ARNOTT|20112012|0.249141482418913|0
ALEXANDER_RADULOV|20112012|0.246224099142705|0
ANDREI_MARKOV|20132014|0.245723427445889|0.245723427445889
CHRIS_PRONGER|20112012|0.244131369141798|0
TYLER_KENNEDY|20132014|0.236225453889241|0.236225453889241
BENOIT_POULIOT|20132014|0.232121326395383|0.232121326395383
LUBOMIR_VISNOVSKY|20132014|0.230003110442661|0.230003110442661
JAROMIR_JAGR|20132014|0.229924209362133|0.229924209362133
ALEX_TANGUAY|20132014|0.228092692075537|0.228092692075537
CHRIS_KUNITZ|20132014|0.225969744342605|0.225969744342605
JOE_PAVELSKI|20132014|0.225160820695165|0.225160820695165
DOMINIK_HASEK|20072008|0.224653476362908|0
NICKLAS_LIDSTROM|20112012|0.224181906606552|0
ROB_KLINKHAMMER|20132014|0.223300220839146|0.223300220839146
MAREK_MALIK|20082009|0.221959994385016|0
CHRIS_SIMON|20072008|0.219612830914427|0
PETR_CAJANEK|20062007|0.215088386182677|0
PIERRE-MARC_BOUCHARD|20132014|0.214203544713409|0.214203544713409
KYLE_WELLWOOD|20122013|0.213311506203944|0
PETER_SCHAEFER|20102011|0.21125116693387|0
DUSTIN_PENNER|20132014|0.207815593825236|0.207815593825236
FRANS_NIELSEN|20132014|0.207795874293319|0.207795874293319
STEVEN_STAMKOS|20132014|0.207457815946265|0.207457815946265
TEDDY_PURCELL|20132014|0.205225876463788|0.205225876463788
MILAN_HEJDUK|20122013|0.203970261966692|0
ALEX_BURROWS|20132014|0.202482697729783|0.202482697729783
TOBIAS_ENSTROM|20132014|0.199990344930682|0.199990344930682
ZDENO_CHARA|20132014|0.199131780323699|0.199131780323699
CODY_FRANSON|20132014|0.193290111866772|0.193290111866772
RICK_NASH|20132014|0.192804768653585|0.192804768653585
DAYMOND_LANGKOW|20112012|0.191400652550528|0
HENRIK_ZETTERBERG|20132014|0.190246178321305|0.190246178321305
KEITH_YANDLE|20132014|0.190242032417461|0.190242032417461
JAKUB_VORACEK|20132014|0.187566969585552|0.187566969585552
ALEXEI_PONIKAROVSKY|20122013|0.187367976385536|0
DAVID_BACKES|20132014|0.185603014806157|0.185603014806157
NICKLAS_BACKSTROM|20132014|0.185142425700119|0.185142425700119
DAVID_KREJCI|20132014|0.184949519564817|0.184949519564817
ERIK_COLE|20132014|0.184430352382616|0.184430352382616
DEREK_MACKENZIE|20132014|0.184162883739224|0.184162883739224
NAZEM_KADRI|20132014|0.183647458814325|0.183647458814325
MIKE_RICHARDS|20132014|0.183122077109564|0.183122077109564
T.J._OSHIE|20132014|0.182080282807813|0.182080282807813
JANNIK_HANSEN|20132014|0.17949036656702|0.17949036656702
DUSTIN_BROWN|20132014|0.178011755739382|0.178011755739382
BRENDAN_MORRISON|20112012|0.177320128774575|0
KIMMO_TIMONEN|20132014|0.176358007250606|0.176358007250606
STEVE_THOMAS|20032004|0.175732315846739|0
TYLER_SEGUIN|20132014|0.175617626680861|0.175617626680861
JORDAN_EBERLE|20132014|0.175332884123125|0.175332884123125
EVGENI_MALKIN|20132014|0.175095160453639|0.175095160453639
ANZE_KOPITAR|20132014|0.174306311227276|0.174306311227276
PATRICK_SHARP|20132014|0.17351529569123|0.17351529569123
WOJTEK_WOLSKI|20122013|0.172456172901885|0
JEFF_CARTER|20132014|0.17038510166329|0.17038510166329
BOBBY_RYAN|20132014|0.169627631565729|0.169627631565729
PAVOL_DEMITRA|20092010|0.166901247669228|0
BRYAN_BICKELL|20132014|0.166021398318891|0.166021398318891
ALEX_FROLOV|20102011|0.163901375911435|0
SHANE_DOAN|20132014|0.161502802270541|0.161502802270541
KEITH_TKACHUK|20092010|0.161308174736424|0
HENRIK_LUNDQVIST|20132014|0.160008710529516|0.160008710529516
THOMAS_VANEK|20132014|0.157889636867627|0.157889636867627
RYAN_SMYTH|20132014|0.157752935669132|0.157752935669132
STEPHEN_WEISS|20132014|0.157587964234523|0.157587964234523
SIMON_GAGNE|20122013|0.15720826448443|0
MARC_SAVARD|20102011|0.157032956623379|0
JIRI_HUDLER|20132014|0.156756356155542|0.156756356155542
JOCHEN_HECHT|20122013|0.15619565909828|0
RYAN_MCDONAGH|20132014|0.155338038302504|0.155338038302504
MARCO_STURM|20112012|0.155182805339848|0
ALEX_STEEN|20132014|0.154487368686847|0.154487368686847
MATT_CARLE|20132014|0.153156897013211|0.153156897013211
BRIAN_RAFALSKI|20102011|0.152042992018937|0
MATT_CULLEN|20132014|0.151686019122682|0.151686019122682
DEREK_STEPAN|20132014|0.151517040989259|0.151517040989259
PATRICE_BERGERON|20132014|0.150670307052266|0.150670307052266
JOEL_WARD|20132014|0.150624626558801|0.150624626558801
JAROME_IGINLA|20132014|0.149951643759872|0.149951643759872
JASON_SPEZZA|20132014|0.149336909272107|0.149336909272107
PAUL_STASTNY|20132014|0.148990758339929|0.148990758339929
NATHAN_GERBE|20132014|0.147922753101003|0.147922753101003
MARK_STREIT|20132014|0.147450375458191|0.147450375458191
MIKE_RIBEIRO|20132014|0.147327792715385|0.147327792715385
SERGEI_KOSTITSYN|20122013|0.143548389392956|0
TRENT_HUNTER|20112012|0.141288373477774|0
FERNANDO_PISANI|20102011|0.141065056048655|0
JAMES_REIMER|20132014|0.140289039140816|0.140289039140816
CHRISTIAN_BACKMAN|20082009|0.140075797456563|0
CAM_ATKINSON|20132014|0.139106473981258|0.139106473981258
DANY_HEATLEY|20132014|0.138853775891708|0.138853775891708
MIKAEL_SAMUELSSON|20132014|0.136901773886891|0.136901773886891
DOUG_WEIGHT|20102011|0.136316609558723|0
SCOTT_HARTNELL|20132014|0.135555177351848|0.135555177351848
STEVEN_REINPRECHT|20102011|0.134670552874719|0
PATRIK_BERGLUND|20132014|0.134337591109121|0.134337591109121
CLAUDE_GIROUX|20132014|0.133331324220567|0.133331324220567
OLLI_JOKINEN|20132014|0.133281550492717|0.133281550492717
DAN_BOYLE|20132014|0.132584879734696|0.132584879734696
SLAVA_VOYNOV|20132014|0.132097314954569|0.132097314954569
BEN_LOVEJOY|20132014|0.131802515823829|0.131802515823829
DEREK_ROY|20132014|0.130723679682043|0.130723679682043
CURTIS_GLENCROSS|20132014|0.129708308287754|0.129708308287754
ALEX_GOLIGOSKI|20132014|0.129353121933213|0.129353121933213
MIKHAIL_GRABOVSKI|20132014|0.128627656964217|0.128627656964217
ERIC_DESJARDINS|20052006|0.127763102918757|0
VALERI_BURE|20032004|0.127173615531587|0
COLIN_WILSON|20132014|0.127147627097575|0.127147627097575
KRIS_VERSTEEG|20132014|0.126288441192346|0.126288441192346
VIKTOR_KOZLOV|20082009|0.125589787746544|0
CURTIS_LESCHYSHYN|20032004|0.125452283112329|0
TOMAS_PLEKANEC|20132014|0.12516889112631|0.12516889112631
JUSSI_JOKINEN|20132014|0.124719398089345|0.124719398089345
TRAVIS_ZAJAC|20132014|0.124041599273981|0.124041599273981
CARL_HAGELIN|20132014|0.124032472252267|0.124032472252267
BRIAN_CAMPBELL|20132014|0.123909938471948|0.123909938471948
SEAN_AVERY|20112012|0.123879339085168|0
BRYAN_LITTLE|20132014|0.12357421525356|0.12357421525356
JASON_BLAKE|20112012|0.123316000159853|0
PETER_BUDAJ|20132014|0.123235883997675|0.123235883997675
SCOTTIE_UPSHALL|20132014|0.122681371916929|0.122681371916929
BRENDEN_MORROW|20132014|0.122106455455363|0.122106455455363
MILAN_LUCIC|20132014|0.121537375693279|0.121537375693279
SHEA_WEBER|20132014|0.12076088979967|0.12076088979967
ADAM_MCQUAID|20132014|0.120444616560663|0.120444616560663
STEVE_SULLIVAN|20122013|0.119929004136238|0
