player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po
DANIEL_ALFREDSSON,20062007,0.22,0.55,246.4,432,0.6,0.22,0.55,65.93,115,0.6
JOE_THORNTON,20092010,0.21,0.55,245.61,359,0.58,0.21,0.55,49.89,80,0.58
JORDAN_EBERLE,20122013,0.38,0.59,243.95,178,0.57,0,0.5,0,0,0
JAROMIR_JAGR,20052006,0.21,0.55,242.95,682,0.65,0.21,0.55,5.25,22,0.72
HENRIK_ZETTERBERG,20092010,0.22,0.55,242.66,460,0.6,0.28,0.57,53.45,95,0.62
PATRICK_MARLEAU,20112012,0.19,0.55,242.25,461,0.59,0.19,0.55,12.35,18,0.57
EVGENI_MALKIN,20062007,0.24,0.56,242.15,433,0.61,0.24,0.56,12.42,23,0.61
ALEX_STEEN,20132014,0.34,0.58,241.42,272,0.59,0.34,0.58,33.67,54,0.64
KYLE_OKPOSO,20092010,0.21,0.55,240.84,272,0.56,0,0.5,0,0,0
ERIK_CONDRA,20112012,0.3,0.58,240.84,-125,0.46,0.3,0.58,18.12,-6,0.48
JORDAN_STAAL,20132014,0.29,0.57,240.26,155,0.55,0,0.5,0,0,0
EVGENI_MALKIN,20082009,0.19,0.55,240.09,343,0.57,0.19,0.55,66.55,160,0.61
MARTIN_HAVLAT,20082009,0.26,0.56,239.84,479,0.63,0.26,0.56,44.27,51,0.57
ROBERT_LANG,20072008,0.28,0.57,237.11,339,0.6,0,0.5,0,0,0
JUSSI_JOKINEN,20052006,0.36,0.59,236.41,493,0.69,0.36,0.59,16.13,42,0.73
BOBBY_RYAN,20092010,0.22,0.55,236.19,300,0.57,0,0.5,0,0,0
PHIL_KESSEL,20112012,0.19,0.55,235.52,195,0.54,0,0.5,0,0,0
SEAN_AVERY,20062007,0.23,0.56,235.4,299,0.57,0.23,0.56,30.53,16,0.53
BRIAN_GIONTA,20072008,0.23,0.56,235.37,458,0.61,0.23,0.56,13.91,16,0.57
CHRIS_KUNITZ,20112012,0.2,0.55,235.14,729,0.66,0.2,0.55,16.33,64,0.7
LEE_STEMPNIAK,20092010,0.23,0.56,234.6,245,0.56,0.23,0.56,18.6,-6,0.48
PETER_FORSBERG,20022003,0.4,0.6,233.52,382,0.66,0.4,0.6,22.87,47,0.7
MIKE_RIBEIRO,20082009,0.2,0.55,233.13,449,0.6,0,0.5,0,0,0
MARKUS_NASLUND,20072008,0.25,0.56,232.37,368,0.6,0,0.5,0,0,0
KRIS_VERSTEEG,20112012,0.25,0.56,231.88,240,0.56,0.25,0.56,23.43,-2,0.49
DUSTIN_BYFUGLIEN,20102011,0.17,0.54,231.66,534,0.6,0,0.5,0,0,0
ALES_HEMSKY,20082009,0.25,0.56,231.55,344,0.59,0,0.5,0,0,0
JUSTIN_WILLIAMS,20132014,0.27,0.57,231.46,423,0.62,0.26,0.56,57,68,0.58
ALEXANDER_SEMIN,20112012,0.25,0.56,231.39,292,0.58,0.25,0.56,40.65,41,0.56
MASON_RAYMOND,20092010,0.22,0.56,231.35,280,0.57,0.22,0.56,31.9,-39,0.43
PETR_CAJANEK,20052006,0.24,0.56,231.04,268,0.57,0,0.5,0,0,0
MARKUS_NASLUND,20062007,0.25,0.56,231.02,481,0.63,0.25,0.56,33.04,35,0.57
ERIC_STAAL,20102011,0.16,0.54,230.74,177,0.53,0,0.5,0,0,0
ALEXANDER_SEMIN,20082009,0.26,0.56,230.34,460,0.63,0.26,0.56,50.86,77,0.6
