player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po,beta.avg,prob.avg,ppm.avg,pm.avg,fp.avg
MATT_CULLEN,20132014,0.11,0.53,83.83,144,0.55,0,0.5,0,0,0,0.12,0.53,87.21,144,0.55
JAY_MCKEE,20052006,0.07,0.52,83.74,-89,0.48,0.07,0.52,20.59,-8,0.49,0.06,0.52,96.91,-97,0.48
TOM_KOSTOPOULOS,20072008,0.12,0.53,83.69,-242,0.41,0.12,0.53,19.5,-7,0.49,0.13,0.53,113.83,-249,0.43
DION_PHANEUF,20132014,0.06,0.51,83.66,-339,0.44,0,0.5,0,0,0,0.06,0.52,86.5,-339,0.44
PATRIK_ELIAS,20022003,0.15,0.54,83.64,283,0.62,0.15,0.54,25.76,17,0.52,0.15,0.54,110.51,300,0.6
MILAN_HEJDUK,20102011,0.07,0.52,83.28,198,0.54,0,0.5,0,0,0,0.07,0.52,84.13,198,0.54
MICHAEL_RYDER,20132014,0.12,0.53,83.2,216,0.58,0,0.5,0,0,0,0.12,0.53,83.98,216,0.58
SIMON_GAGNE,20092010,0.08,0.52,83.18,240,0.56,0.08,0.52,25.27,13,0.51,0.08,0.52,111.23,253,0.55
BRENDAN_SHANAHAN,20032004,0.12,0.53,82.97,243,0.59,0.12,0.53,10.83,46,0.63,0.12,0.53,91.67,289,0.59
PAUL_GAUSTAD,20102011,0.08,0.52,82.94,-168,0.46,0.08,0.52,10.05,-43,0.42,0.07,0.52,90.1,-211,0.46
RYAN_SMYTH,20122013,0.13,0.53,82.9,-255,0.4,0,0.5,0,0,0,0.13,0.53,81.04,-255,0.4
ALEX_AULD,20082009,0.04,0.51,82.74,-25,0.5,0,0.5,0,0,0,0.03,0.51,72.33,-25,0.5
MARK_STREIT,20092010,0.04,0.51,82.72,366,0.54,0,0.5,0,0,0,0.04,0.51,77.65,366,0.54
ALYN_MCCAULEY,20052006,0.1,0.52,82.67,9,0.5,0.1,0.52,3.86,3,0.52,0.1,0.53,91.1,12,0.5
CODY_EAKIN,20122013,0.13,0.53,82.65,-105,0.46,0,0.5,0,0,0,0.12,0.53,81.87,-105,0.46
ANDREI_LOKTIONOV,20132014,0.17,0.54,82.63,120,0.56,0,0.5,0,0,0,0.17,0.54,82.84,120,0.56
DEREK_DORSETT,20132014,0.21,0.55,82.43,-34,0.48,0.21,0.55,33.04,-7,0.49,0.23,0.56,126.97,-41,0.48
KIP_MILLER,20022003,0.2,0.55,82.25,187,0.61,0.2,0.55,2.67,7,0.63,0.21,0.55,88.13,194,0.61
CHRIS_KUNITZ,20062007,0.07,0.52,82.2,333,0.57,0.07,0.52,14.12,40,0.55,0.04,0.51,52.58,373,0.57
CODY_FRANSON,20092010,0.11,0.53,82.13,329,0.61,0.11,0.53,3.94,31,0.71,0.1,0.53,85.78,360,0.61
JUSTIN_ABDELKADER,20132014,0.11,0.53,82.13,-6,0.5,0.11,0.53,7.52,18,0.57,0.12,0.53,93.84,12,0.5
MIKAEL_SAMUELSSON,20062007,0.12,0.53,82.08,269,0.59,0.12,0.53,26.99,118,0.63,0.11,0.53,101.06,387,0.6
JOSH_BAILEY,20082009,0.08,0.52,82,120,0.53,0,0.5,0,0,0,0.09,0.52,86.36,120,0.53
GARY_ROBERTS,20032004,0.15,0.54,81.99,212,0.6,0.15,0.54,14.64,-14,0.46,0.14,0.53,87.75,198,0.58
NAZEM_KADRI,20102011,0.19,0.55,81.99,66,0.54,0,0.5,0,0,0,0.18,0.55,81.11,66,0.54
PASCAL_DUPUIS,20092010,0.08,0.52,81.97,-202,0.45,0.08,0.52,15.41,48,0.56,0.08,0.52,96.54,-154,0.47
