Who,Last Active Year,effect
SERGEI_BRYLIN,20072008,0
KEN_DANEYKO,20022003,0
JEFF_DANIELS,20022003,0
MIKE_DANTON,20032004,0
RON_FRANCIS,20032004,0
JEFF_FRIESEN,20062007,0
SCOTT_GOMEZ,20132014,0
BRET_HEDICAN,20082009,0
SEAN_HILL,20072008,0
ARTURS_IRBE,20032004,0
DARREN_LANGDON,20052006,0
JAMIE_LANGENBRUNNER,20122013,0
JOHN_MADDEN,20112012,0
JIM_MCKENZIE,20032004,0
SCOTT_NIEDERMAYER,20092010,0
JOE_NIEUWENDYK,20062007,0
JEFF_O'NEILL,20062007,0
COREY_SCHWAB,20032004,0
SCOTT_STEVENS,20032004,0
TURNER_STEVENSON,20052006,0
JAROSLAV_SVOBODA,20052006,0
DAVID_TANABE,20072008,0
OLEG_TVERDOVSKY,20062007,0
KEVIN_WEEKES,20082009,0
GLEN_WESLEY,20072008,0
COLIN_WHITE,20112012,0
JASON_ALLISON,20052006,0
DEREK_ARMSTRONG,20092010,0
LUBOS_BARTECKO,20022003,0
JAROSLAV_BEDNAR,20032004,0
ERIC_BELANGER,20122013,0
BRAD_CHARTRAND,20032004,0
JEFF_COWAN,20072008,0
ADAM_DEADMARSH,20022003,0
MIKKO_ELORANTA,20022003,0
MILAN_HNILICKA,20032004,0
TONY_HRKAC,20022003,0
CRAIG_JOHNSON,20032004,0
FRANTISEK_KABERLE,20082009,0
TOMI_KALLIO,20022003,0
IAN_LAPERRIERE,20092010,0
FRANCIS_LESSARD,20102011,0
CHRIS_MCALPINE,20022003,0
SHAWN_MCEACHERN,20052006,0
JAROSLAV_MODRY,20072008,0
MATTIAS_NORSTROM,20072008,0
PASI_NURMINEN,20032004,0
FELIX_POTVIN,20032004,0
ERIK_RASMUSSEN,20062007,0
PASCAL_RHEAUME,20052006,0
RICHARD_SMEHLIK,20022003,0
BRYAN_SMOLINSKI,20072008,0
DAN_SNYDER,20022003,0
PATRIK_STEFAN,20062007,0
JAMIE_STORR,20032004,0
CHRIS_TAMER,20032004,0
DANIEL_TJARNQVIST,20082009,0
YANNICK_TREMBLAY,20062007,0
JAMIE_ALLISON,20052006,0
TYLER_ARNASON,20082009,0
MARK_BELL,20072008,0
SERGEI_BEREZIN,20022003,0
KYLE_CALDER,20092010,0
ANDREW_CASSELS,20052006,0
MARC_DENIS,20082009,0
PHIL_HOUSLEY,20022003,0
HANNES_HYVONEN,20022003,0
ALEXANDER_KARPOVTSEV,20052006,0
JON_KLEMM,20072008,0
ROSTISLAV_KLESLA,20132014,0
ESPEN_KNUTSEN,20032004,0
IGOR_KOROLEV,20032004,0
JEAN_LABBE,20022003,0
GRANT_MARSHALL,20052006,0
BORIS_MIRONOV,20032004,0
LYLE_ODELEIN,20052006,0
STEVE_PASSMORE,20032004,0
SEAN_PRONGER,20032004,0
GEOFF_SANDERSON,20072008,0
JODY_SHELLEY,20112012,0
MIKE_SILLINGER,20082009,0
JOCELYN_THIBAULT,20072008,0
STEVE_THOMAS,20032004,0
SHAWN_THORNTON,20132014,0
RYAN_VANDENBUSSCHE,20052006,0
DERRICK_WALSER,20062007,0
TYLER_WRIGHT,20052006,0
ALEXEI_ZHAMNOV,20052006,0
BRYAN_ALLEN,20132014,0
STU_BARNES,20072008,0
MURRAY_BARON,20032004,0
TODD_BERTUZZI,20132014,0
