player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po,beta.avg,prob.avg,ppm.avg,pm.avg,fp.avg
ALEX_OVECHKIN,20102011,0.28,0.57,22.17,59,0.69,0.28,0.57,2.54,4,0.61,0.29,0.57,25.2,63,0.68
STEVE_DOWNIE,20092010,0.38,0.59,22.13,38,0.66,0,0.5,0,0,0,0.36,0.59,20.98,38,0.66
MIKKO_KOIVU,20082009,0.26,0.56,22.11,20,0.56,0,0.5,0,0,0,0.25,0.56,21.53,20,0.56
HENRIK_SEDIN,20112012,0.29,0.57,21.84,62,0.7,0.29,0.57,1.28,3,0.67,0.27,0.57,22.16,65,0.7
MIIKKA_KIPRUSOFF,20112012,0.13,0.53,21.76,8,0.51,0,0.5,0,0,0,0.13,0.53,21.5,8,0.51
OLLI_JOKINEN,20062007,0.24,0.56,21.58,43,0.62,0,0.5,0,0,0,0.22,0.55,19.52,43,0.62
MIIKKA_KIPRUSOFF,20092010,0.13,0.53,21.57,5,0.51,0,0.5,0,0,0,0.13,0.53,21.31,5,0.51
JONATHAN_TOEWS,20072008,0.3,0.57,21.5,40,0.64,0,0.5,0,0,0,0.3,0.57,21.42,40,0.64
ALEX_TANGUAY,20102011,0.24,0.56,21.49,20,0.56,0,0.5,0,0,0,0.24,0.56,21.06,20,0.56
MIKKO_KOIVU,20092010,0.26,0.56,21.34,16,0.55,0,0.5,0,0,0,0.25,0.56,20.78,16,0.55
MARIAN_GABORIK,20052006,0.31,0.58,21.21,42,0.65,0,0.5,0,0,0,0.31,0.58,20.84,42,0.65
NICKLAS_LIDSTROM,20092010,0.22,0.55,21.18,48,0.62,0.22,0.55,4.43,5,0.56,0.22,0.55,25.4,53,0.61
MARTIN_HAVLAT,20082009,0.27,0.57,21.09,54,0.67,0.27,0.57,4.22,8,0.62,0.25,0.56,23.7,62,0.66
DANIEL_ALFREDSSON,20082009,0.24,0.56,21.04,28,0.58,0,0.5,0,0,0,0.24,0.56,21.07,28,0.58
HENRIK_SEDIN,20052006,0.29,0.57,20.99,40,0.64,0,0.5,0,0,0,0.27,0.57,20.12,40,0.64
DUSTIN_BROWN,20112012,0.29,0.57,20.97,39,0.63,0.29,0.57,5.14,22,0.81,0.26,0.57,23.82,61,0.67
ANZE_KOPITAR,20092010,0.24,0.56,20.93,46,0.63,0.24,0.56,1.76,5,0.67,0.23,0.56,21.92,51,0.63
MARIAN_HOSSA,20112012,0.25,0.56,20.85,21,0.56,0.25,0.56,0.51,2,0.75,0.26,0.56,21.53,23,0.57
MIIKKA_KIPRUSOFF,20052006,0.13,0.53,20.77,31,0.55,0.13,0.53,2.11,0,0.5,0.13,0.53,22.61,31,0.54
ANZE_KOPITAR,20102011,0.28,0.57,20.77,36,0.62,0,0.5,0,0,0,0.24,0.56,18.12,36,0.62
STEVEN_STAMKOS,20102011,0.21,0.55,20.63,57,0.64,0.21,0.55,3.35,6,0.59,0.19,0.55,21.28,63,0.64
JOE_THORNTON,20132014,0.39,0.6,20.61,35,0.66,0.39,0.6,1.73,-1,0.44,0.37,0.59,21.42,34,0.65
JONATHAN_TOEWS,20112012,0.3,0.57,20.6,18,0.57,0.3,0.57,1.49,4,0.7,0.3,0.57,22.02,22,0.57
RYAN_GETZLAF,20102011,0.24,0.56,20.55,53,0.66,0.24,0.56,1.95,4,0.62,0.25,0.56,23.08,57,0.65
MARIAN_HOSSA,20072008,0.25,0.56,20.47,12,0.54,0.25,0.56,5.69,21,0.73,0.26,0.56,26.37,33,0.58
OLLI_JOKINEN,20052006,0.23,0.56,20.26,51,0.65,0,0.5,0,0,0,0.22,0.55,18.89,51,0.65
JAROMIR_JAGR,20052006,0.21,0.55,20.16,93,0.75,0,0.5,0,0,0,0.26,0.57,24.84,93,0.75
ANDREI_MARKOV,20132014,0.28,0.57,20.13,31,0.61,0.28,0.57,3.7,3,0.56,0.27,0.57,23.14,34,0.6
ANZE_KOPITAR,20082009,0.24,0.56,20.11,3,0.51,0,0.5,0,0,0,0.23,0.56,19.42,3,0.51
JOE_PAVELSKI,20102011,0.24,0.56,20.1,33,0.6,0.24,0.56,4.02,1,0.52,0.24,0.56,23.79,34,0.59
JOE_PAVELSKI,20112012,0.24,0.56,20.1,33,0.6,0.24,0.56,0.85,-7,0,0.24,0.56,20.67,26,0.58
LADISLAV_NAGY,20062007,0.34,0.58,20.05,28,0.62,0.34,0.58,0.67,2,0.75,0.33,0.58,20.57,30,0.62
HENRIK_LUNDQVIST,20052006,0.16,0.54,20,34,0.57,0.16,0.54,0.66,-6,0.12,0.16,0.54,19.65,28,0.56
NICKLAS_LIDSTROM,20032004,0.22,0.55,19.99,41,0.61,0.22,0.55,2.49,9,0.7,0.22,0.55,22.29,50,0.62
DOMINIK_HASEK,20062007,0.15,0.54,19.93,58,0.61,0.15,0.54,5.28,11,0.58,0.09,0.52,15,69,0.6
FRANS_NIELSEN,20112012,0.28,0.57,19.91,6,0.52,0,0.5,0,0,0,0.28,0.57,19.62,6,0.52
MATT_MOULSON,20092010,0.32,0.58,19.9,24,0.6,0,0.5,0,0,0,0.32,0.58,19.79,24,0.6
ANZE_KOPITAR,20112012,0.24,0.56,19.87,31,0.59,0.24,0.56,4.12,21,0.8,0.23,0.56,23.17,52,0.63
HENRIK_SEDIN,20062007,0.29,0.57,19.86,56,0.7,0.29,0.57,2.69,-7,0.32,0.27,0.57,21.62,49,0.65
CHRIS_PRONGER,20032004,0.21,0.55,19.82,17,0.54,0.21,0.55,0.52,3,0.8,0.22,0.56,21.53,20,0.55
RYAN_GETZLAF,20092010,0.24,0.56,19.82,31,0.6,0,0.5,0,0,0,0.25,0.56,20.34,31,0.6
DAVID_KREJCI,20082009,0.28,0.57,19.71,49,0.67,0.28,0.57,2.21,6,0.69,0.27,0.57,21.37,55,0.67
MARTIN_HAVLAT,20102011,0.27,0.57,19.64,9,0.53,0,0.5,0,0,0,0.25,0.56,18.39,9,0.53
TIM_THOMAS,20102011,0.14,0.53,19.64,62,0.61,0.14,0.53,9.13,30,0.61,0.23,0.56,46.75,92,0.61
SIDNEY_CROSBY,20122013,0.41,0.6,19.52,49,0.75,0.41,0.6,6.64,5,0.58,0.4,0.6,25.67,54,0.71
BOBBY_RYAN,20092010,0.25,0.56,19.5,36,0.61,0,0.5,0,0,0,0.24,0.56,19.08,36,0.61
DANIEL_SEDIN,20102011,0.22,0.56,19.45,86,0.75,0.22,0.56,6.37,5,0.54,0.22,0.56,25.48,91,0.7
PAVEL_DATSYUK,20122013,0.4,0.6,19.45,39,0.7,0.4,0.6,4.72,4,0.58,0.36,0.59,22.05,43,0.67
LOGAN_COUTURE,20102011,0.36,0.59,19.4,30,0.64,0.36,0.59,6.35,2,0.53,0.34,0.59,24.89,32,0.61
HENRIK_LUNDQVIST,20132014,0.16,0.54,19.26,5,0.51,0.16,0.54,7.87,4,0.52,0.16,0.54,25.81,9,0.51
MATS_SUNDIN,20072008,0.22,0.55,18.98,31,0.59,0,0.5,0,0,0,0.2,0.55,17.81,31,0.59
ZIGMUND_PALFFY,20052006,0.4,0.6,18.97,17,0.59,0,0.5,0,0,0,0.38,0.59,18.28,17,0.59
ALEXANDER_SEMIN,20102011,0.36,0.59,18.96,41,0.69,0.36,0.59,3.19,6,0.67,0.34,0.59,21.33,47,0.69
ALEXANDER_SEMIN,20122013,0.36,0.59,18.96,27,0.63,0,0.5,0,0,0,0.34,0.59,18.26,27,0.63
LOUI_ERIKSSON,20082009,0.23,0.56,18.91,12,0.54,0,0.5,0,0,0,0.22,0.55,18.21,12,0.54
RICK_NASH,20092010,0.2,0.55,18.89,9,0.52,0,0.5,0,0,0,0.2,0.55,18.89,9,0.52
ALEX_TANGUAY,20052006,0.24,0.56,18.87,48,0.65,0.24,0.56,2.03,3,0.59,0.24,0.56,20.47,51,0.65
MARIAN_HOSSA,20032004,0.25,0.56,18.83,39,0.63,0.25,0.56,0.76,4,0.83,0.26,0.56,19.75,43,0.64
HENRIK_ZETTERBERG,20072008,0.2,0.55,18.78,63,0.66,0.2,0.55,4.72,22,0.73,0.19,0.55,22.83,85,0.68
TRENT_HUNTER,20032004,0.41,0.6,18.77,41,0.72,0,0.5,0,0,0,0.42,0.6,19.21,41,0.72
MARIAN_HOSSA,20082009,0.25,0.56,18.7,60,0.7,0.25,0.56,4.8,14,0.68,0.26,0.56,23.7,74,0.7
LOUI_ERIKSSON,20112012,0.23,0.56,18.69,26,0.58,0,0.5,0,0,0,0.22,0.55,17.99,26,0.58
DANIEL_ALFREDSSON,20032004,0.24,0.56,18.65,66,0.71,0.24,0.56,0.72,2,0.67,0.24,0.56,19.39,68,0.71
ZACH_PARISE,20072008,0.27,0.57,18.65,42,0.65,0.27,0.57,2.43,0,0.5,0.26,0.56,20,42,0.63
RYAN_GETZLAF,20112012,0.24,0.56,18.6,15,0.55,0,0.5,0,0,0,0.25,0.56,19.09,15,0.55
MARTIN_HAVLAT,20092010,0.27,0.57,18.59,9,0.53,0,0.5,0,0,0,0.25,0.56,17.4,9,0.53
JOE_PAVELSKI,20082009,0.24,0.56,18.52,26,0.59,0.24,0.56,1.22,-4,0.3,0.24,0.56,19.46,22,0.57
TEEMU_SELANNE,20082009,0.31,0.58,18.42,37,0.66,0.31,0.58,2.63,5,0.65,0.29,0.57,19.65,42,0.65
DAVID_VYBORNY,20022003,0.38,0.59,18.4,22,0.61,0,0.5,0,0,0,0.36,0.59,17.26,22,0.61
ALEX_TANGUAY,20072008,0.24,0.56,18.39,26,0.58,0.24,0.56,1.31,-1,0.45,0.24,0.56,19.3,25,0.58
ALEX_GOLIGOSKI,20102011,0.2,0.55,18.32,43,0.62,0,0.5,0,0,0,0.19,0.55,17.42,43,0.62
RYAN_NUGENT-HOPKINS,20132014,0.28,0.57,18.32,18,0.57,0,0.5,0,0,0,0.26,0.56,17.36,18,0.57
JONATHAN_TOEWS,20132014,0.3,0.57,18.21,30,0.62,0.3,0.57,5.82,5,0.56,0.3,0.57,23.95,35,0.61
TIM_THOMAS,20062007,0.11,0.53,18.07,-31,0.45,0,0.5,0,0,0,0.1,0.52,16.67,-31,0.45
JAROME_IGINLA,20072008,0.18,0.55,18.02,72,0.68,0.18,0.55,1.53,5,0.65,0.16,0.54,17.54,77,0.68
PAVEL_DATSYUK,20032004,0.25,0.56,17.93,23,0.58,0.25,0.56,1.24,4,0.7,0.25,0.56,19.52,27,0.59
ALEX_TANGUAY,20062007,0.24,0.56,17.91,44,0.65,0.24,0.56,0.72,2,0.67,0.24,0.56,18.25,46,0.65
ANDREI_MARKOV,20022003,0.28,0.57,17.8,32,0.62,0,0.5,0,0,0,0.27,0.57,17.29,32,0.62
FRANS_NIELSEN,20102011,0.28,0.57,17.8,7,0.53,0,0.5,0,0,0,0.28,0.57,17.55,7,0.53
GABRIEL_LANDESKOG,20112012,0.26,0.56,17.78,23,0.58,0,0.5,0,0,0,0.23,0.56,16.23,23,0.58
TOBIAS_ENSTROM,20082009,0.16,0.54,17.7,-9,0.48,0,0.5,0,0,0,0.17,0.54,17.95,-9,0.48
MARTIN_GELINAS,20022003,0.34,0.59,17.69,10,0.55,0,0.5,0,0,0,0.34,0.58,17.35,10,0.55
PATRICK_SHARP,20072008,0.23,0.56,17.68,36,0.62,0,0.5,0,0,0,0.21,0.55,15.57,36,0.62
MARK_STREIT,20092010,0.17,0.54,17.58,25,0.56,0,0.5,0,0,0,0.17,0.54,17.44,25,0.56
LUBOMIR_VISNOVSKY,20112012,0.31,0.58,17.57,27,0.62,0,0.5,0,0,0,0.31,0.58,17.53,27,0.62
ALEXEI_PONIKAROVSKY,20082009,0.23,0.56,17.56,14,0.55,0,0.5,0,0,0,0.22,0.56,17.24,14,0.55
PAVEL_DATSYUK,20132014,0.4,0.6,17.49,13,0.57,0.4,0.6,1.96,0,0.5,0.36,0.59,17.74,13,0.57
ALEX_FROLOV,20082009,0.22,0.55,17.43,8,0.52,0,0.5,0,0,0,0.22,0.55,17.4,8,0.52
MIKKO_KOIVU,20102011,0.26,0.56,17.41,19,0.57,0,0.5,0,0,0,0.25,0.56,16.95,19,0.57
LADISLAV_NAGY,20052006,0.34,0.58,17.38,44,0.71,0,0.5,0,0,0,0.33,0.58,17.25,44,0.71
RICK_NASH,20082009,0.2,0.55,17.38,8,0.52,0.2,0.55,0.91,-3,0.33,0.2,0.55,18.29,5,0.51
DANIEL_SEDIN,20092010,0.22,0.56,17.33,61,0.7,0.22,0.56,3.47,9,0.65,0.22,0.56,20.51,70,0.69
HENRIK_ZETTERBERG,20102011,0.2,0.55,17.31,34,0.6,0.2,0.55,1.57,10,0.81,0.19,0.55,18.34,44,0.61
PASI_NURMINEN,20022003,0.14,0.53,17.28,-1,0.5,0,0.5,0,0,0,0.12,0.53,14.98,-1,0.5
RYAN_KESLER,20102011,0.19,0.55,17.23,59,0.66,0.19,0.55,5.2,6,0.56,0.17,0.54,20.23,65,0.64
