player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po
PATRICE_BERGERON,20092010,0.27,0.57,191.84,198,0.57,0.27,0.57,35.08,22,0.54
PATRIK_ELIAS,20072008,0.29,0.57,191.56,333,0.62,0.29,0.57,17.34,11,0.55
ANDREW_LADD,20082009,0.32,0.58,191.39,111,0.55,0.32,0.58,38.72,1,0.5
PATRICE_BERGERON,20062007,0.23,0.5,191.23,77,0.52,0,0.5,0,0,0
MARTIN_HAVLAT,20082009,0.27,0.56,190.6,372,0.63,0.26,0.56,34.57,30,0.56
RICK_NASH,20072008,0.24,0.5,190.28,198,0.56,0,0.5,0,0,0
SEAN_BERGENHEIM,20102011,0.35,0.59,190,113,0.55,0.35,0.59,39.58,8,0.52
NIKOLAI_ZHERDEV,20072008,0.25,0.5,189.89,340,0.61,0,0.5,0,0,0
ALEXANDER_SEMIN,20082009,0.29,0.57,189.74,342,0.63,0.29,0.57,39.31,51,0.59
DEREK_ROY,20072008,0.24,0.5,189.4,222,0.57,0,0.5,0,0,0
MATS_SUNDIN,20072008,0.24,0.5,189.18,307,0.6,0,0.5,0,0,0
JUSSI_JOKINEN,20052006,0.43,0.61,189.01,343,0.69,0.43,0.61,13.25,29,0.73
DANIEL_ALFREDSSON,20032004,0.29,0.57,187.92,388,0.65,0.29,0.57,20.45,63,0.72
RAFFI_TORRES,20062007,0.36,0.5,187.51,109,0.55,0,0.5,0,0,0
LEE_STEMPNIAK,20092010,0.26,0.56,187.37,201,0.57,0.26,0.56,14.53,-1,0.5
NICKLAS_BACKSTROM,20072008,0.25,0.56,187.17,410,0.63,0.25,0.56,18.5,35,0.62
ALES_HEMSKY,20052006,0.31,0.58,186.36,391,0.66,0.31,0.58,47.64,76,0.62
EVGENI_MALKIN,20082009,0.2,0.55,185.62,248,0.57,0.2,0.55,51.88,139,0.63
EVGENI_MALKIN,20062007,0.26,0.57,185.57,328,0.62,0.26,0.57,9.79,21,0.64
MARTIN_HANZAL,20072008,0.32,0.5,185.48,183,0.58,0,0.5,0,0,0
JUSTIN_WILLIAMS,20062007,0.23,0.5,185.34,205,0.56,0,0.5,0,0,0
LUBOMIR_VISNOVSKY,20102011,0.18,0.55,185.34,294,0.57,0.18,0.55,12.59,29,0.61
KRIS_VERSTEEG,20112012,0.26,0.57,185.1,158,0.56,0.26,0.57,18.01,9,0.53
MARKUS_NASLUND,20062007,0.28,0.57,184.7,340,0.63,0.28,0.57,26.37,41,0.61
JONATHAN_TOEWS,20112012,0.29,0.57,184.7,214,0.58,0.29,0.57,20.44,55,0.69
MARKUS_NASLUND,20082009,0.26,0.56,184.16,316,0.61,0.26,0.56,12.74,2,0.51
DUSTIN_PENNER,20082009,0.32,0.5,184.08,182,0.58,0,0.5,0,0,0
ZACH_PARISE,20072008,0.26,0.56,183.4,366,0.63,0.26,0.56,14.49,27,0.62
ALEXANDER_SEMIN,20092010,0.23,0.56,183.28,254,0.58,0.23,0.56,17.18,39,0.63
DAYMOND_LANGKOW,20082009,0.31,0.58,182.69,337,0.64,0.31,0.58,12.56,15,0.59
DAVID_PERRON,20082009,0.35,0.59,182.45,233,0.61,0.35,0.59,11.76,28,0.71
JOE_THORNTON,20092010,0.21,0.55,182.31,248,0.57,0.21,0.55,37.65,68,0.6
SEAN_AVERY,20052006,0.39,0.5,181.88,69,0.54,0,0.5,0,0,0
ALEXEI_PONIKAROVSKY,20092010,0.28,0.57,181.82,307,0.62,0.28,0.57,17.86,27,0.6
