NAME|X0203US|X0304US|X0506US|X0607US|X0708US|X0809US|X0910US|X1011US|X1112US|TOTAL
Brad Stuart|0|1.75|1.9|2.4|3.5|3.75|3.75|3.75|3.75|24.55
Jason Blake|0.6|0.8|1.558|1.558|5|4.5|4.5|3|3|24.516
Robyn Regehr|1.0725|1.25|1.672|1.9|2.28|4.6|3.5|4|4|24.2745
Filip Kuba|0.775|1.7|1.691|3|3|3|3.5|3.9|3.7|24.266
Mike Fisher|0.75|0.9625|1.5|1.5|1.5|6|4|4|4|24.2125
Brendan Shanahan|7|6.5|2.28|4|2.5|0.8|1|0|0|24.08
Chris Phillips|1.45|1.675|1.876|2.204|3.5|3.5|3.5|3.5|2.75|23.955
Kim Johnsson|1.05|1.25|2.2|4.05|4.8|5.25|5.3|0|0|23.9
Pierre-Marc Bouchard|1.185|1.185|0.95|1.85|2.6|3.35|4.25|4.25|4.25|23.87
Jeff Carter|0|0|0.9424|0.9424|0.9424|4.5|5|5.5|6|23.8272
Marco Sturm|1.3|2|2|2.1|3.5|3.5|3.5|3.5|2.25|23.65
Corey Perry|0|0|0.684|0.684|0.494|4.5|6.5|5.375|5.375|23.612
Dainius Zubrus|1.4|1.5|1.85|1.85|3.4|3.4|3.4|3.4|3.4|23.6
John Madden|1.5|2|3.861561|3.892566|3.924811|3.958346|2.75|1|0.6|23.487284
Dwayne Roloson|0.6|2.2|1.672|4.5|3.5|3|2|3|3|23.472
Sergei Samsonov|2.2|3.65|2.77|3.525|3.525|2.3|2.5|2.8|0|23.27
Jeremy Roenick|8|7.5|4.94|1.2|0.5|1.1|0|0|0|23.24
Cory Sarich|0.85|1.15|1.33|1.9|3.9|3.4|3.7|3.7|3.3|23.23
Derian Hatcher|4.2|5|3.5|3.5|3.5|3.5|0|0|0|23.2
Craig Rivet|1.5|2.5|2.66|2.47|3.5|3.5|3.5|3.5|0|23.13
Ryan Getzlaf|0|0|0.881|0.7144|0.6232|4.5|5.125|5.125|5.75|22.7186
Mike Green|0|0|0|0.825|0.85|6|5|5|5|22.675
Marek Zidlicky|0|0|1.14|3.2|3.2|3.5|3.5|4|4|22.54
Duncan Keith|0|0|0.621|1|1.4|1.6|1.9|8|8|22.521
Matt Cullen|1.5|1.75|0.6688|3.1|2.8|2.8|2.8|3.5|3.5|22.4188
Jamie Langenbrunner|2.084911|2.077799|1.65513|2.8|2.8|2.8|2.8|2.8|2.5|22.31784
Shea Weber|0|0|0|0.735|0.475|4.5|4.5|4.5|7.5|22.21
Dustin Penner|0|0|0.507|0.45|4.25|4.25|4.25|4.25|4.25|22.207
Mikko Koivu|0|0|0.858|0.9025|2.7|3.3|3.3|3.7|7.29|22.0505
Ron Hainsey|1.075|0|0|0.575|0.9|4.5|5|5|5|22.05
Mike Komisarek|0|1.13|0.90174|0.946827|1.5|1.9|4.5|5.5|5.5|21.878567
Marc-Andre Fleury|0|1.24|0|0.98952|1.6|3.5|3.5|5.5|5.5|21.82952
Toni Lydman|0.715|1.7|1.9|2.3|2.9|3.15|3.15|3|3|21.815
Joni Pitkanen|0|0|0.9006|2|2.4|3.5|4|4.5|4.5|21.8006
Joffrey Lupul|0|1.185|0.9006|1.5|2.535|2.9|4.25|4.25|4.25|21.7706
Paul Stastny|0|0|0|0.535|0.685|0.71|6.6|6.6|6.6|21.73
Michael Ryder|0|0|1|2.2|2.95|4|4|4|3.5|21.65
Christian Ehrhoff|0|0|0.608|0.8|0.9|2.75|3.15|3.4|10|21.608
Sami Salo|0.88|1.675|1.5|1.5|3|3.75|3.75|3.5|2|21.555
Mike Rathje|2.025|2.025|3.5|3.5|3.5|3.5|3.5|0|0|21.55
Vyacheslav Kozlov|2.35|3.5|2.66|2.014|3.3|3.85|3.85|0|0|21.524
Tim Thomas|0.4|0.55|0|1.2|1|1.1|6|6|5|21.25
Vinnie Prospal|1.55|6.5|1.9|1.9|1.9|3.5|1.15|1.08|1.75|21.23
Petr Sykora|3.535|4.2|3.116|2.9|2.5|2.5|1.6|0|0.65|21.001
Jere Lehtinen|2.55|2.6|3.572|2.774|3.9|4.1|1.5|0|0|20.996
Anze Kopitar|0|0|0|0.85|0.85|0.765|6|6|6.4|20.865
Alexei Zhamnov|4|4.5|4.1|4.1|4.1|0|0|0|0|20.8
Jochen Hecht|1.075|1.3|1.9|2.35|0|3.8|3.8|3.5|3|20.725
Colin White|0.75|2.25|1.71|3|3|3|3|3|1|20.71
Cory Stillman|2.1|2.75|1.75|1.75|1.75|3.6|3.5|3.5|0|20.7
Barret Jackman|0.5|0.8|1.14|1.482|2.2|2.5|4.5|4|3.5|20.622
Anton Volchenkov|1|1|1.1|1.5|2.1|2.2|3.2|4.25|4.25|20.6
Jean-Pierre Dumont|1.1|1.4|1.596|2|2.5|4|4|4|0|20.596
Nathan Horton|0|0|0.9424|1.1|3|3.5|3.5|4|4.5|20.5424
Owen Nolan|5.5|6.5|0|1.225|1.75|2.75|2.75|0|0|20.475
Brent Seabrook|0|0|0.9424|0.9424|0.9424|3.5|3.5|3.5|7|20.3272
Brian Leetch|9.68|6.6|4|0|0|0|0|0|0|20.28
John Leclair|9|9|2.1|0|0|0|0|0|0|20.1
Brendan Morrison|2.15|2.45|3.2|3.2|3.2|2.75|1.5|0.725|0.85|20.025
Pavel Bure|10|10|0|0|0|0|0|0|0|20
Derek Roy|0|0|0.782|0.627|3|3.5|3.5|4|4.5|19.909
Zach Parise|0|0|0.703|0.703|2|2.5|3|5|6|19.906
Curtis Joseph|8|8|1.2|2|0|0.7|0|0|0|19.9
John-Michael Liles|0|0|0.45|1.25|1.4|3.7|4.125|4.425|4.55|19.9
Miroslav Satan|3.55|0|4.015|4.25|4.5|3.5|0|0|0|19.815
Glen Murray|3.45|3.85|4.15|4.15|4.15|0|0|0|0|19.75
Cam Ward|0|0|0.684|0.684|2|2.5|2.5|5|6.3|19.668
Alexander Frolov|1.075|1.075|2|2|3|3.5|4|3|0|19.65
Brad Boyes|0|0|0.6|1.4|1.6|2.5|5|4.5|4|19.6
Mark Recchi|5|5|2.28|2.28|1.75|1.25|1|1|0|19.56
Keith Primeau|5|5|3.42|3.04|3.04|0|0|0|0|19.5
Ryan Whitney|0|0|0|0.9006|2.5|3|3.5|4.5|5|19.4006
Jarret Stoll|0|0|0.5016|2.2|2.2|4.1|3.5|3.4|3.4|19.3016
Kevin Bieksa|0|0|0|0.5|0.55|4.25|3.5|3.5|7|19.3
Johan Franzen|0|0|0.6|0.775|0.9|1.15|5.5|5|5.25|19.175
Phil Kessel|0|0|0|0.85|0.85|0.85|4.5|6|6|19.05
Keith Ballard|0|0|0.9006|0.9006|2.05|2.5|4.2|4.2|4.2|18.9512
Dan Hamhuis|0|0|0.90174|1.5|1.75|2.25|2.5|5|5|18.90174
Nick Schultz|0.6|0.6|0.836|1.1875|1.85|3.2|3.4|3.6|3.6|18.8735
Ed Belfour|6.5|7|4.56|0.75|0|0|0|0|0|18.81
Henrik Tallinder|0.76|0.6435|0.5918|1.6|2.5|2.9|3.25|3.25|3.25|18.7453
Jason Pominville|0|0|0|0.8|0.925|1.375|4.5|5.5|5.5|18.6
Fredrik Modin|1.7|1.87|2.204|2.204|2.75|3.5|3.5|0.8|0|18.528
Martin Biron|1.9|2.2|2.128|2.128|3.5|3.5|1.4|0.95|0.8|18.506
Manny Fernandez|1.6|2.2|1.672|3.75|4.5|4.75|0|0|0|18.472
Andy Sutton|0.575|0.775|1.8|2|2.5|3|3.5|2|2.25|18.4
Tom Gilbert|0|0|0|0|0.835|3.5|3.5|5.5|5|18.335
Nik Antropov|0.66|0|1.007|1.007|1.95|2.15|3.5|3.75|4.25|18.274
Stephen Weiss|1.13|1.13|0.61028|0.9|1.8|2.5|3|3.2|4|18.27028
Tuomo Ruutu|0|0|0.858|1.5|2.25|2.25|3|4|4.4|18.258
Mattias Norstrom|2.5|4.5|2.66|4.25|4.25|0|0|0|0|18.16
Cristobal Huet|0|0.425|0.726|3|2.75|5.625|5.625|0|0|18.151
Mark Streit|0|0|0.55|0.6|0.6|4.1|4.1|4.1|4.1|18.15
Ruslan Salei|1.6|1.75|1.824|2.775|3.025|3.025|3.275|0.75|0|18.024
Alexander Mogilny|5.5|5.5|3.5|3.5|0|0|0|0|0|18
Martin Lapointe|5.25|5.5|2.4|2.4|2.4|0|0|0|0|17.95
Hal Gill|1.35|2|1.596|2.05|2.075|2.1|2.25|2.25|2.25|17.921
Ryan Kesler|0|0|0.722|1.9|1.75|1.75|1.75|5|5|17.872
Alexei Zhitnik|3.55|3.75|3.515|3.5|3.5|0|0|0|0|17.815
Mike Knuble|0.75|0.8|1.52|1.52|2.8|2.8|2.8|2.8|2|17.79
Zigmund Palffy|7.25|7|3.5|0|0|0|0|0|0|17.75
Martin Straka|4|4.35|3|3.1|3.3|0|0|0|0|17.75
Brooks Orpik|0|0|0.65|1|1.075|3.75|3.75|3.75|3.75|17.725
Patrick Sharp|0|0|0.45|0.725|0.825|3.3|4|4.1|4.2|17.6
Bryce Salvador|0.52|1.2|1.3|1.4|1.5|2.9|2.9|2.9|2.9|17.52
R.J. Umberger|0|0|0|1.05|1.25|3|3.5|4|4.5|17.3
Darryl Sydor|3.5|3.5|2.128|2.128|2.5|2.5|1|0|0|17.256
